Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
681a5fd41cbd9a1d73432a7e,67104869a47a61b561900be7,APPROVED,Not Applicable,2025-05-06T19:15:46.049000Z,2025-05-06T19:38:08.218000Z,2025-05-06T19:43:56.404000Z,2025-05-06T19:38:08.815322Z,1343.0,NOCODE,1848,63,Male,White,United States,United States,United States,English,No,Other
681a6093486f08e68b7c6cbc,676d6b0a137e2c9c8e9fc347,APPROVED,Not Applicable,2025-05-06T19:18:47.385000Z,2025-05-06T19:32:13.041000Z,2025-05-06T19:43:56.864000Z,2025-05-06T19:32:13.578277Z,806.0,NOCODE,929,64,Male,White,United States,United States,United States,English,No,Full-Time
681a60fffe7f747704ffd7a0,67dcabf7fc5e336cc3dd3ef9,APPROVED,Not Applicable,2025-05-06T19:21:02.050000Z,2025-05-06T19:43:30.478000Z,2025-05-06T19:43:58.888000Z,2025-05-06T19:43:31.046100Z,1349.0,https://uchicago.co1.qualtrics.com/jfe/form/SV_5sXcSpbnSNSy6Oi?PROLIFIC_PID=67dcabf7fc5e336cc3dd3ef9&amp;STUDY_ID=67c9c97c532a2e4a4b46bb89&amp;SESSION_ID=681a60fffe7f747704ffd7a0,516,26,Male,White,United States,United States,United States,English,No,Part-Time
681a61080570b62f36ef60fe,67d47007556388f637dab7ef,APPROVED,Not Applicable,2025-05-06T19:20:51Z,2025-05-06T19:42:48.087000Z,2025-05-06T19:43:59.259000Z,2025-05-06T19:42:48.649955Z,1318.0,NOCODE,277,25,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681a612b9ec015299f5c2e8e,5de96ccf7aeafe09d7e8a74a,APPROVED,Not Applicable,2025-05-06T19:24:37.316000Z,2025-05-06T19:45:42.445000Z,2025-05-06T19:46:24.026000Z,2025-05-06T19:45:43.030631Z,1266.0,NOCODE,7013,56,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681a614b5b38f8e22c92e53c,67d06b134e532d565d0ae78b,APPROVED,Not Applicable,2025-05-06T19:22:38.123000Z,2025-05-06T19:54:58.482000Z,2025-05-06T19:56:02.559000Z,2025-05-06T19:54:59.021462Z,1941.0,NOCODE,447,53,Female,White,United States,United States,United States,English,Yes,Full-Time
681a6178a5f1771ebccfc712,66eadaf9c59bf7347c0e7b9f,APPROVED,Not Applicable,2025-05-06T19:22:39.817000Z,2025-05-06T19:45:22.513000Z,2025-05-06T19:46:24.355000Z,2025-05-06T19:45:23.105061Z,1363.0,NOCODE,1420,34,Female,Black,United States,United States,United States,English,No,Full-Time
681a61c576650d040333dbd6,6679d2f916fe8e0bccf073b7,APPROVED,Not Applicable,2025-05-06T19:23:57.020000Z,2025-05-06T19:54:41.027000Z,2025-05-06T19:54:59.954000Z,2025-05-06T19:54:41.578622Z,1845.0,NOCODE,798,25,Male,Mixed,Madagascar,United States,United States,English,DATA_EXPIRED,Part-Time
681a61dd8c0d4029827fbc3b,67cedb4571e80b2c4b1847e0,APPROVED,Not Applicable,2025-05-06T19:24:45.211000Z,2025-05-06T19:49:15.208000Z,2025-05-06T19:49:20.192000Z,2025-05-06T19:49:15.812394Z,1470.0,NOCODE,299,33,Male,White,United States,United States,United States,English,Yes,Part-Time
681a61e74b7b6c951c52c9ee,67e7e2535e2bf374651ee45d,APPROVED,Not Applicable,2025-05-06T19:24:27.688000Z,2025-05-06T19:55:39.490000Z,2025-05-06T19:56:02.827000Z,2025-05-06T19:55:39.960909Z,1872.0,67e7e2535e2bf374651ee45d,378,30,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
681a61eb3326d3b4d7a19cf0,6578ae6e6457e054e58a7c2d,APPROVED,Not Applicable,2025-05-06T19:24:27.161000Z,2025-05-06T20:22:01.904000Z,2025-05-06T20:22:22.950000Z,2025-05-06T20:22:02.411922Z,3455.0,NOCODE,963,81,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681a61ed07dfe7acf8e94a55,67d92161d27322bcf92b1349,APPROVED,Not Applicable,2025-05-06T19:24:56.420000Z,2025-05-06T20:10:58.184000Z,2025-05-06T20:14:46.730000Z,2025-05-06T20:10:58.696466Z,2762.0,NOCODE,448,73,DATA_EXPIRED,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
681a61fcea343692cb00debd,6763ad169c28727881cabe7f,APPROVED,Not Applicable,2025-05-06T19:25:06.711000Z,2025-05-06T20:08:56.552000Z,2025-05-06T20:14:47.028000Z,2025-05-06T20:08:57.080959Z,2630.0,NOCODE,784,19,Female,Black,United States,United States,United States,English,No,Full-Time
681a61fd625bcfb4d652d685,67cb68dd16c001bfb9316992,APPROVED,Not Applicable,2025-05-06T19:27:43.435000Z,2025-05-06T20:07:09.385000Z,2025-05-06T20:07:39.733000Z,2025-05-06T20:07:09.911814Z,2366.0,NOCODE,372,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
681a61fe459e867701d3d247,67ea264e2bd9de874b36e4e1,APPROVED,Not Applicable,2025-05-06T19:24:58.443000Z,2025-05-06T20:04:13.575000Z,2025-05-06T20:07:40.195000Z,2025-05-06T20:04:14.051848Z,2356.0,NOCODE,260,46,Male,White,United States,United States,United States,English,No,Full-Time
