duration_sec,age,gender,LD1,LD2,LD3,LD4,LD5,TE1,TE2,TE3,TE4,TE5,PV1,PV2,PV3,BD1,BD2,BD3,LD1.1,LD2.1,LD3.1,LD4.1,LD5.1,TE1.1,TE2.1,TE3.1,TE4.1,TE5.1,PV1.1,PV2.1,PV3.1,BD1.1,BD2.1,BD3.1,LD1.2,LD2.2,LD3.2,LD4.2,LD5.2,TE1.2,TE2.2,TE3.2,TE4.2,TE5.2,PV1.2,PV2.2,PV3.2,BD1.2,BD2.2,BD3.2,LD1.3,LD2.3,LD3.3,LD4.3,LD5.3,TE1.3,TE2.3,TE3.3,TE4.3,TE5.3,PV1.3,PV2.3,PV3.3,BD1.3,BD2.3,BD3.3,LD1.4,LD2.4,LD3.4,LD4.4,LD5.4,TE1.4,TE2.4,TE3.4,TE4.4,TE5.4,PV1.4,PV2.4,PV3.4,BD1.4,BD2.4,BD3.4,LD1.5,LD2.5,LD3.5,LD4.5,LD5.5,TE1.5,TE2.5,TE3.5,TE4.5,TE5.5,PV1.5,PV2.5,PV3.5,BD1.5,BD2.5,BD3.5,LD1.6,LD2.6,LD3.6,LD4.6,LD5.6,TE1.6,TE2.6,TE3.6,TE4.6,TE5.6,PV1.6,PV2.6,PV3.6,BD1.6,BD2.6,BD3.6,LD1.7,LD2.7,LD3.7,LD4.7,LD5.7,TE1.7,TE2.7,TE3.7,TE4.7,TE5.7,PV1.7,PV2.7,PV3.7,BD1.7,BD2.7,BD3.7,LD1.8,LD2.8,LD3.8,LD4.8,LD5.8,TE1.8,TE2.8,TE3.8,TE4.8,TE5.8,PV1.8,PV2.8,PV3.8,BD1.8,BD2.8,BD3.8,LD1.9,LD2.9,LD3.9,LD4.9,LD5.9,TE1.9,TE2.9,TE3.9,TE4.9,TE5.9,PV1.9,PV2.9,PV3.9,BD1.9,BD2.9,BD3.9,LD1.10,LD2.10,LD3.10,LD4.10,LD5.10,TE1.10,TE2.10,TE3.10,TE4.10,TE5.10,PV1.10,PV2.10,PV3.10,BD1.10,BD2.10,BD3.10,LD1.11,LD2.11,LD3.11,LD4.11,LD5.11,TE1.11,TE2.11,TE3.11,TE4.11,TE5.11,PV1.11,PV2.11,PV3.11,BD1.11,BD2.11,BD3.11,LD1.12,LD2.12,LD3.12,LD4.12,LD5.12,TE1.12,TE2.12,TE3.12,TE4.12,TE5.12,PV1.12,PV2.12,PV3.12,BD1.12,BD2.12,BD3.12,LD1.13,LD2.13,LD3.13,LD4.13,LD5.13,TE1.13,TE2.13,TE3.13,TE4.13,TE5.13,PV1.13,PV2.13,PV3.13,BD1.13,BD2.13,BD3.13,LD1.14,LD2.14,LD3.14,LD4.14,LD5.14,TE1.14,TE2.14,TE3.14,TE4.14,TE5.14,PV1.14,PV2.14,PV3.14,BD1.14,BD2.14,BD3.14,LD1.15,LD2.15,LD3.15,LD4.15,LD5.15,TE1.15,TE2.15,TE3.15,TE4.15,TE5.15,PV1.15,PV2.15,PV3.15,BD1.15,BD2.15,BD3.15,natural_preference,host_preference,engagement_preference,preference_reason,host_reason
788,56,Male,Occasionally,Moderate (11-15 words),,Moderate,Moderate,Positive,Neutral,Very human-like,Somewhat consistent,Moderately,Fast,Never,Somewhat varied,Somewhat smooth,Moderate (6-10 seconds),Somewhat fluid,Very Often, Long (16-20 words),,Very Varied,Very complex,Very positive,Very calm,Very human-like,Very consistent,Very,Moderate,Never,Very varied,Very smooth,Long (11-15 seconds),Very fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Often,Moderate (11-15 words),Moderate,Varied,Complex,Positive,Neutral,Very human-like,Somewhat consistent,Very,Moderate,Sometimes,Very varied,Neutral,Moderate (6-10 seconds),Somewhat fluid,Often, Long (16-20 words),,Very Varied,Very complex,Very positive,Very calm,Very human-like,Very consistent,Extremely,Moderate,Never,Somewhat varied,Very smooth,Long (11-15 seconds),Very fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Often,Moderate (11-15 words),,Varied,Moderate,Positive,Neutral,Very human-like,Somewhat consistent,Moderately,Moderate,Sometimes,Somewhat varied,Somewhat smooth,Moderate (6-10 seconds),Neutral,Very Often,Moderate (11-15 words),,Very Varied,Complex,Very positive,Calm,Very human-like,Very consistent,Extremely,Moderate,Never,Somewhat varied,Very smooth,Moderate (6-10 seconds),Very fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,AI-host podcast,AI-AI,The conversations between the AI hosts were very engaging. ,"Until this study, I didn?? know that AI hosts could interact like this. In this study, I preferred the AI hosts, so I would be more inclined to pick AI podcasts. "
668,30,Non-binary,Often,Short (6-10 words),Few,A little varied,Simple,Very positive,Calm,Very human-like,Very consistent,Slightly,Slow,Sometimes,Neutral,Neutral,Very short (1-2 seconds),Neutral,Rarely,Short (6-10 words),Few,A little varied,Simple,Positive,Calm,Somewhat human-like,Somewhat consistent,Slightly,Moderate,Never,Somewhat monotonous,Somewhat disjointed,Short (3-5 seconds),Somewhat fragmented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occasionally,Moderate (11-15 words),Few,Varied,Simple,Positive,Tense,Very human-like,Very consistent,Moderately,Fast,Never,Somewhat monotonous,Neutral,Very short (1-2 seconds),Very fluid,Often,Short (6-10 words),,A little varied,Moderate,Positive,Neutral,Very human-like,Somewhat consistent,Very,Fast,Never,Neutral,Somewhat smooth,Moderate (6-10 seconds),Very fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Often,Moderate (11-15 words),Few,Varied,Complex,Neutral,Tense,Very human-like,Very consistent,Very,Fast,Never,Very varied,Somewhat smooth,Short (3-5 seconds),Somewhat fragmented,Often,Short (6-10 words),,Moderate,Moderate,Very positive,Neutral,Very human-like,Somewhat consistent,Very,Moderate,Never,Neutral,Very smooth,Short (3-5 seconds),Very fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI-AI,Human-host podcast,Human-Human,"The AI podcasts seemed to be more artificial, but smoother",I want to support human content creators
696,24,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,Moderate (11-15 words),Few,Moderate,Simple,Positive,Neutral,Somewhat human-like,Somewhat consistent,Slightly,Fast,Sometimes,Neutral,Somewhat smooth,Short (3-5 seconds),Somewhat fluid,Occasionally,Moderate (11-15 words),Few,Moderate,Simple,Neutral,Neutral,Neutral,Neutral,Not at all,Fast,Never,Neutral,Neutral,Very short (1-2 seconds),Somewhat fluid,Rarely,Short (6-10 words),,Moderate,Simple,Positive,Neutral,Very human-like,Somewhat consistent,Very,Fast,Never,Neutral,Very smooth,Short (3-5 seconds),Very fluid,Rarely,Very short (1-5 words),Few,A little varied,Very simple,Neutral,Neutral,Very Robotic,Somewhat inconsistent,Not at all,Fast,Sometimes,Somewhat varied,Very disjointed,Very short (1-2 seconds),Somewhat fragmented,Rarely,Moderate (11-15 words),Few,Moderate,Simple,Positive,Neutral,Very human-like,Somewhat consistent,Moderately,Moderate,Sometimes,Neutral,Neutral,Very short (1-2 seconds),Neutral,Rarely,Short (6-10 words),,Moderate,Simple,Neutral,Neutral,Neutral,Neutral,Slightly,Fast,Sometimes,Neutral,Somewhat disjointed,Very short (1-2 seconds),Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human-Human,Human-host podcast,Human-Human,"They felt more like a conversation I could envision myself having, the pacing the verbiage the tone etc.",Human hosted podcasts are genuine human thoughts not a cacophony of the worst ideas rounded up and regurgitated by a program.
1317,63,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,Moderate (11-15 words),,Moderate,Moderate,Positive,Tense,Very human-like,Somewhat consistent,Very,Fast,Never,Somewhat varied,Neutral,Very short (1-2 seconds),Very fluid,Rarely,Short (6-10 words),,Moderate,Simple,Positive,Neutral,Somewhat human-like,Somewhat consistent,Slightly,Fast,Never,Somewhat varied,Somewhat disjointed,Very short (1-2 seconds),Somewhat fragmented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,Moderate (11-15 words),,Moderate,Moderate,Neutral,Neutral,Very human-like,Somewhat consistent,Very,Fast,Sometimes,Somewhat varied,Neutral,Very short (1-2 seconds),Very fluid,Rarely,Short (6-10 words),,Moderate,Moderate,Positive,Calm,Somewhat human-like,Somewhat consistent,Moderately,Moderate,Sometimes,Somewhat varied,Somewhat disjointed,Very short (1-2 seconds),Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,Moderate (11-15 words),,Very Varied,Complex,Positive,Neutral,Very human-like,Somewhat consistent,Moderately,Moderate,Never,Somewhat varied,Neutral,Very short (1-2 seconds),Very fluid,Rarely,Moderate (11-15 words),,Moderate,Complex,Positive,Calm,Neutral,Somewhat inconsistent,Slightly,Fast,Never,Somewhat varied,Somewhat smooth,Short (3-5 seconds),Somewhat fragmented,Human-Human,Human-host podcast,Human-Human,"The human audio examples were not conversations, just one person speaking but I've heard enough podcasts to say that human to human conversation to me is more engaging primarily because it's humans. AI is surprisingly close but not there quite yet.",Human hosted because it is more genuine than an artificial recreation of a conversation. 
664,25,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Often,Short (6-10 words),Few,Very Varied,Very simple,Very positive,Neutral,Very human-like,Somewhat consistent,Extremely,Fast,Most of the time,Very varied,Very smooth,Short (3-5 seconds),Neutral,Often,Short (6-10 words),,Varied,Simple,Very positive,Very calm,Very human-like,Very consistent,Extremely,Moderate,Most of the time,Very varied,Very smooth,Moderate (6-10 seconds),Somewhat fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Often,Short (6-10 words),Moderate,Very Varied,Simple,Very positive,Calm,Very human-like,Very consistent,Extremely,Moderate,Sometimes,Very varied,Very smooth,Short (3-5 seconds),Very fluid,Rarely,Short (6-10 words),Few,Very Varied,Simple,Very positive,Calm,Very human-like,Somewhat consistent,Extremely,Moderate,Most of the time,Very varied,Very smooth,Short (3-5 seconds),Somewhat fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occasionally,Very long (21+ words),Few,A little varied,Very simple,Positive,Very calm,Very human-like,Very consistent,Extremely,Moderate,Sometimes,Neutral,Somewhat smooth,Short (3-5 seconds),Somewhat fluid,Occasionally,Short (6-10 words),,Varied,Very simple,Very positive,Calm,Very human-like,Very consistent,Extremely,Moderate,Sometimes,Very varied,Very smooth,Short (3-5 seconds),Very fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human-Human,AI-host podcast,Both,"I chose Both because each type of conversation offers unique strengths. Human-Human conversations feel more emotionally engaging and spontaneous, while AI-AI conversations are often efficient, logically structured and free from bias or emotional misinterpretation.","I would prefer both depending on the purpose. Human-hosted podcasts are often more relatable and emotionally engaging??hey bring personality, spontaneity, and real-world experience to the conversation. On the other hand, AI-generated podcasts can be incredibly informative, efficient, and consistent, especially for fact-driven or niche technical topic."
849,21,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Often,Moderate (11-15 words),Moderate,Moderate,Moderate,Negative,Calm,Somewhat human-like,Somewhat consistent,Very,Moderate,About half the time,Somewhat varied,Somewhat smooth,Moderate (6-10 seconds),Somewhat fluid,Often,Short (6-10 words),Moderate,Moderate,Moderate,Positive,Calm,Somewhat human-like,Somewhat consistent,Moderately,Moderate,Sometimes,Somewhat varied,Somewhat smooth,Moderate (6-10 seconds),Somewhat fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occasionally,Short (6-10 words),Moderate,Moderate,Moderate,Negative,Tense,Somewhat human-like,Somewhat consistent,Moderately,Fast,Sometimes,Somewhat monotonous,Somewhat smooth,Moderate (6-10 seconds),Somewhat fragmented,Often,Short (6-10 words),Moderate,Moderate,Moderate,Negative,Calm,Somewhat Robotic,Somewhat consistent,Moderately,Moderate,About half the time,Somewhat monotonous,Somewhat smooth,Short (3-5 seconds),Somewhat fragmented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occasionally,Short (6-10 words),Moderate,Varied,Moderate,Positive,Calm,Somewhat human-like,Somewhat consistent,Very,Fast,About half the time,Somewhat varied,Somewhat smooth,Long (11-15 seconds),Somewhat fluid,Occasionally,Moderate (11-15 words),Many,Moderate,Moderate,Negative,Calm,Somewhat Robotic,Somewhat consistent,Slightly,Fast,About half the time,Somewhat monotonous,Somewhat smooth,Moderate (6-10 seconds),Somewhat fluid,Human-Human,Human-host podcast,Both,because it is the most suitable,because they are enjoyable
694,49,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely, Long (16-20 words),,Moderate,Moderate,Neutral,Neutral,Very human-like,Somewhat consistent,Moderately,Moderate,Never,Neutral,Somewhat smooth,Long (11-15 seconds),Somewhat fluid,Rarely,Short (6-10 words),Few,A little varied,Simple,Positive,Neutral,Somewhat human-like,Somewhat inconsistent,Slightly,Fast,Sometimes,Neutral,Somewhat disjointed,Short (3-5 seconds),Somewhat fragmented,Rarely,Moderate (11-15 words),Few,Moderate,Moderate,Positive,Neutral,Very human-like,Very inconsistent,Moderately,Moderate,About half the time,Somewhat monotonous,Somewhat smooth,Long (11-15 seconds),Very fluid,Rarely,Moderate (11-15 words),,Moderate,Simple,Positive,Neutral,Somewhat human-like,Somewhat consistent,Slightly,Moderate,Sometimes,Somewhat monotonous,Somewhat disjointed,Moderate (6-10 seconds),Somewhat fragmented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,Moderate (11-15 words),,Moderate,Moderate,Neutral,Neutral,Very human-like,Somewhat consistent,Moderately,Moderate,Never,Neutral,Somewhat disjointed,Short (3-5 seconds),Neutral,Rarely,Short (6-10 words),,Moderate,Moderate,Positive,Calm,Somewhat human-like,Somewhat consistent,Moderately,Moderate,Never,Somewhat varied,Somewhat smooth,Moderate (6-10 seconds),Somewhat fluid,Human-Human,Human-host podcast,Human-Human,I would much rather listen to humans talk to one another than Ai ,They have a much more natural tone and flow to how they hold a conversation 
966,25,Male,Very Often,Moderate (11-15 words),Moderate,Varied,Moderate,Positive,Calm,Neutral,Somewhat consistent,Moderately,Moderate,About half the time,Somewhat varied,Somewhat smooth,Long (11-15 seconds),Somewhat fluid,Occasionally,Very long (21+ words),Few,Varied,Moderate,Positive,Calm,Somewhat Robotic,Very consistent,Very,Moderate,Most of the time,Somewhat varied,Somewhat smooth,Long (11-15 seconds),Somewhat fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Often,Very long (21+ words),Few,Moderate,Simple,Very positive,Very calm,Very human-like,Very consistent,Extremely,Moderate,About half the time,Somewhat varied,Very smooth,Long (11-15 seconds),Very fluid,Often,Moderate (11-15 words),Few,A little varied,Moderate,Positive,Calm,Somewhat Robotic,Somewhat consistent,Very,Moderate,About half the time,Somewhat varied,Somewhat smooth,Long (11-15 seconds),Somewhat fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,Very long (21+ words),Few,Moderate,Moderate,Positive,Calm,Very human-like,Somewhat consistent,Very,Fast,Most of the time,Somewhat varied,Very smooth,Very long (16+ seconds),Somewhat fluid,Very Often,Very long (21+ words),Few,Very Varied,Moderate,Positive,Calm,Somewhat Robotic,Somewhat consistent,Extremely,Moderate,Sometimes,Somewhat varied,Very smooth,Very long (16+ seconds),Very fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human-Human,Human-host podcast,Human-Human,Because it is flowless.,Because and I can clearly and listen everything that is said.
1149,34,Female,Often,Short (6-10 words),,Varied,Complex,Very positive,Very calm,Very human-like,Very consistent,Very,Moderate,Never,Somewhat varied,Somewhat smooth,Moderate (6-10 seconds),Somewhat fluid,Often,Short (6-10 words),,Moderate,Moderate,Positive,Calm,Somewhat human-like,Somewhat consistent,Moderately,Slow,Sometimes,Somewhat monotonous,Very smooth,Moderate (6-10 seconds),Somewhat fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Often,Moderate (11-15 words),Few,Varied,Moderate,Positive,Calm,Very human-like,Somewhat consistent,Moderately,Moderate,Sometimes,Somewhat varied,Somewhat smooth,Moderate (6-10 seconds),Somewhat fluid,Rarely, Long (16-20 words),,Varied,Moderate,Positive,Neutral,Very human-like,Somewhat inconsistent,Extremely,Moderate,Sometimes,Somewhat varied,Somewhat disjointed,Moderate (6-10 seconds),Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,Short (6-10 words),,A little varied,Moderate,Positive,Neutral,Somewhat human-like,Somewhat inconsistent,Slightly,Fast,Never,Somewhat monotonous,Neutral,Long (11-15 seconds),Somewhat fluid,Rarely,Short (6-10 words),,A little varied,Complex,Positive,Neutral,Somewhat human-like,Somewhat inconsistent,Slightly,Moderate,Sometimes,Somewhat monotonous,Somewhat smooth,Long (11-15 seconds),Somewhat fluid,AI-AI,AI-host podcast,AI-AI,Because the AI seemed more real than the real human tone voice,They seemed more believable and they also seemed to use more convincing words
1269,24,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Often,Moderate (11-15 words),Moderate,Varied,Complex,Positive,Calm,Somewhat human-like,Somewhat consistent,Very,Fast,Sometimes,Somewhat varied,Very smooth,Moderate (6-10 seconds),Very fluid,Occasionally,Very long (21+ words),Moderate,Varied,Moderate,Very positive,Calm,Neutral,Somewhat consistent,Very,Moderate,Sometimes,Somewhat varied,Very smooth,Very long (16+ seconds),Very fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occasionally,Very long (21+ words),Few,Moderate,Moderate,Positive,Calm,Somewhat human-like,Somewhat consistent,Moderately,Moderate,Sometimes,Somewhat varied,Somewhat smooth,Very long (16+ seconds),Somewhat fluid,Occasionally,Very long (21+ words),Few,A little varied,Moderate,Positive,Calm,Somewhat human-like,Somewhat consistent,Very,Moderate,Sometimes,Somewhat varied,Somewhat smooth,Very long (16+ seconds),Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely,Very long (21+ words),Few,Moderate,Complex,Neutral,Neutral,Somewhat Robotic,Somewhat consistent,Moderately,Fast,Sometimes,Somewhat monotonous,Somewhat smooth,Very long (16+ seconds),Somewhat fluid,Occasionally,Very long (21+ words),Few,A little varied,Moderate,Neutral,Calm,Somewhat Robotic,Neutral,Moderately,Moderate,Sometimes,Neutral,Somewhat smooth,Very long (16+ seconds),Neutral,Human-Human,Human-host podcast,Both,human-human,seems more and like you part of them
